dataset_name,task_type,baseline_acc,ttt_acc,delta_pp,n_train_eval,n_test_eval,n_features_eval,n_classes_eval,n_num_features_json,n_cat_features_json,imbalance_ratio,domain_tag,source_short,info_json_path
microaggregation2,multiclass,0.6405,0.63725,-0.3249999999999975,16000,4000,20,5,20,0,15.022880215343204,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=41671&sort=runs,data178/microaggregation2/info.json
FOREX_cadjpy-day-High,binclass,0.7166212534059946,0.7138964577656676,-0.2724795640327015,1467,367,10,2,10,0,1.0065645514223194,financial/FOREX; openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=41839&sort=runs,data178/FOREX_cadjpy-day-High/info.json
ringnorm,binclass,0.9797297297297296,0.977027027027027,-0.2702702702702564,5920,1480,20,2,20,0,1.019650655021834,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=1496&sort=runs,data178/ringnorm/info.json
house_16H,binclass,0.890659747961453,0.888065233506301,-0.2594514455152019,10790,2698,16,2,16,0,1.0,openml/synthetic-benchmark; business/customer/finance,https://www.openml.org/search?type=data&status=active&id=44123&sort=runs,data178/house_16H/info.json
mfeat-factors,multiclass,0.975,0.9725,-0.2499999999999946,1600,400,216,10,216,0,1.0,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=12&sort=runs,data178/mfeat-factors/info.json
mfeat-karhunen,multiclass,0.975,0.9725,-0.2499999999999946,1600,400,64,10,64,0,1.0,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=16&sort=runs,data178/mfeat-karhunen/info.json
Bank_Customer_Churn_Dataset,binclass,0.877,0.8745,-0.2499999999999946,8000,2000,10,2,6,4,,business/customer/finance,https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset,data178/Bank_Customer_Churn_Dataset/info.json
pol,binclass,0.9836390679226574,0.9811601388200296,-0.2478929102627813,8065,2017,26,2,26,0,1.0,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=44122&sort=runs,data178/pol/info.json
Customer_Personality_Analysis,binclass,0.8839285714285714,0.8816964285714286,-0.2232142857142793,1792,448,24,2,22,2,,business/customer/finance,https://www.kaggle.com/datasets/imakash3011/customer-personality-analysis,data178/Customer_Personality_Analysis/info.json
churn,binclass,0.952,0.95,-0.2000000000000001,4000,1000,20,2,16,4,6.072135785007072,openml/synthetic-benchmark; business/customer/finance,https://www.openml.org/search?type=data&status=active&id=40701&sort=runs,data178/churn/info.json
E-CommereShippingData,binclass,0.6781818181818182,0.6763636363636364,-0.181818181818183,8799,2200,10,2,6,4,,business/customer/finance,https://www.kaggle.com/datasets/prachi13/customer-analytics,data178/E-CommereShippingData/info.json
Telecom_Churn_Dataset,binclass,0.9550224887556222,0.9535232383808095,-0.1499250374812688,2666,667,17,2,14,3,,business/customer/finance,https://www.kaggle.com/datasets/mnassrib/telecom-churn-datasets,data178/Telecom_Churn_Dataset/info.json
delta_ailerons,binclass,0.9509116409537168,0.9495091164095372,-0.1402524544179662,5703,1426,5,2,5,0,1.1306037059175136,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=803&sort=runs,data178/delta_ailerons/info.json
Cardiovascular-Disease-dataset,binclass,0.7341428571428571,0.7329285714285714,-0.1214285714285723,56000,14000,11,2,5,6,1.0012007204322593,openml/synthetic-benchmark; scientific/health/environment,https://www.openml.org/search?type=data&status=active&id=45547&sort=runs,data178/Cardiovascular-Disease-dataset/info.json
in_vehicle_coupon_recommendation,binclass,0.7906976744186046,0.7895151754040205,-0.1182499014584115,10147,2537,21,2,0,21,,other,https://archive.ics.uci.edu/dataset/603/in+vehicle+coupon+recommendation,data178/in_vehicle_coupon_recommendation/info.json
BNG(cmc),multiclass,0.58625678119349,0.5851717902350814,-0.1084990958408638,44236,11060,9,3,2,7,1.893387964971479,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=255&sort=runs,data178/BNG(cmc)/info.json
Wilt,binclass,0.9927461139896372,0.9917098445595854,-0.103626943005175,3856,965,5,2,5,0,,openml/synthetic-benchmark,https://www.openml.org/search?type=data&id=44489,data178/Wilt/info.json
national-longitudinal-survey-binary,binclass,1.0,0.9989816700610998,-0.1018329938900164,3926,982,16,2,9,7,1.648677819751754,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=43892&sort=runs,data178/national-longitudinal-survey-binary/info.json
Satellite,binclass,0.9931372549019608,0.992156862745098,-0.0980392156862852,4080,1020,36,2,36,0,67.0,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=40900&sort=runs,data178/Satellite/info.json
wall-robot-navigation,multiclass,0.9862637362637364,0.9853479853479854,-0.0915750915751023,4364,1092,24,4,24,0,6.722560975609756,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=1497&sort=runs,data178/wall-robot-navigation/info.json
page-blocks,multiclass,0.9789954337899544,0.978082191780822,-0.0913242009132342,4378,1095,10,5,10,0,175.46428571428572,openml/synthetic-benchmark; text/sequence/symbolic,https://www.openml.org/search?type=data&status=active&id=30&sort=runs,data178/page-blocks/info.json
company_bankruptcy_prediction,binclass,0.9706744868035192,0.9699413489736072,-0.0733137829912022,5455,1364,95,2,93,2,,business/customer/finance,https://www.kaggle.com/datasets/fedesoriano/company-bankruptcy-prediction,data178/company_bankruptcy_prediction/info.json
pendigits,multiclass,0.9972714870395636,0.9968167348794906,-0.0454752160072957,8793,2199,16,10,16,0,1.0843601895734598,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=32&sort=runs,data178/pendigits/info.json
mozilla4,binclass,0.9401736892891605,0.9398520424573816,-0.0321646831778821,12436,3109,4,2,4,0,2.043265465935787,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=1046&sort=runs,data178/mozilla4/info.json
bank,binclass,0.9089903792989052,0.9087692137564968,-0.0221165542408474,36168,9043,16,2,7,9,,business/customer/finance,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,data178/bank/info.json
shuttle,multiclass,0.9994827586206896,0.999396551724138,-0.0086206896551588,46400,11600,9,7,9,0,4558.6,openml/synthetic-benchmark,https://www.openml.org/search?type=data&status=active&id=40685&sort=runs,data178/shuttle/info.json
