dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,llm_col_enabled,llm_col_model,llm_col_alpha,llm_col_dim,llm_col_feature_count,llm_col_cache_hits,llm_col_cache_misses,llm_col_error
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.81855,0.8185490650775503,26.722797632217407,115.35045409202576,ok,,80000,64000,0,20000,,0,5e-06,False,24.293166399002075,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: Caught OutOfMemoryError in replica 0 on device 0. Original Traceback (most recent call last): File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker output = module(*input, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/1D_LLM_TTT.py"", line 934, in forward_with_llm_col_bias return self.icl_predictor(representations, y_train=y_train) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/learning.py"", line 537, in forward out = self._icl_predictions(R, y_train) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/learning.py"", line 270, in _icl_predictions src = self.tf_icl(R, train_size=train_size) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/encoders.py"", line 143, in forward out = block(q=out, train_size=train_size, rope=self.rope) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 454, in forward attn_result = self._attn_block( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 506, in _attn_block result = self.attn( File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 269, in forward return multi_head_attention_forward( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/attention.py"", line 233, in multi_head_attention_forward q, k, v = F._in_projection_packed(query, key, value, in_proj_weight, in_proj_bias) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/functional.py"", line 5639, in _in_projection_packed .contiguous() torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 4.00 MiB is free. Process 50785 has 23.56 GiB memory in use. Of the allocated memory 22.80 GiB is allocated by PyTorch, and 285.06 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: Caught OutOfMemoryError in replica 0 on device 0. Original Traceback (most recent call last): File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker output = module(*input, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/1D_LLM_TTT.py"", line 934, in forward_with_llm_col_bias return self.icl_predictor(representations, y_train=y_train) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/learning.py"", line 537, in forward out = self._icl_predictions(R, y_train) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/learning.py"", line 270, in _icl_predictions src = self.tf_icl(R, train_size=train_size) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/encoders.py"", line 143, in forward out = block(q=out, train_size=train_size, rope=self.rope) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 454, in forward attn_result = self._attn_block( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 506, in _attn_block result = self.attn( File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 269, in forward return multi_head_attention_forward( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/attention.py"", line 233, in multi_head_attention_forward q, k, v = F._in_projection_packed(query, key, value, in_proj_weight, in_proj_bias) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/functional.py"", line 5639, in _in_projection_packed .contiguous() torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 4.00 MiB is free. Process 50785 has 23.56 GiB memory in use. Of the allocated memory 22.80 GiB is allocated by PyTorch, and 285.06 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",True,text-embedding-v4,0.05,128,22,22,0,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8848287598792377,21.964168071746823,0.7602176666259766,ok,,1792,1433,0,448,0.2712030205875635,8,5e-06,True,21.89550280570984,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8885793871866295,0.8913649025069638,1,False,False,,True,text-embedding-v4,0.05,128,24,24,0,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7356618719252352,17.2213876247406,0.8614344596862793,ok,,920,736,0,231,0.4126221593469381,8,5e-06,True,17.173649072647095,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.75,0.75,0,True,False,,True,text-embedding-v4,0.05,128,19,19,0,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6768181818181818,0.6644110056649327,86.786461353302,3.159276247024536,ok,,8799,7039,0,2200,0.4964330047369003,8,5e-06,True,86.69413661956787,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6840909090909091,0.6857954545454545,7,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8625134264232008,0.8555887363620982,30.315099477767944,1.1119096279144287,ok,,3722,2977,0,931,0.3516369722783565,8,5e-06,True,30.26396346092224,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8523489932885906,0.8563758389261745,4,False,False,,True,text-embedding-v4,0.05,128,8,8,0,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7549367088607595,0.7546515714704397,92.0640103816986,3.51242470741272,ok,,7896,6316,0,1975,0.5204610750079155,8,5e-06,True,91.89605498313904,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7493670886075949,0.7493670886075949,0,True,False,,True,text-embedding-v4,0.05,128,23,23,0,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,17.140218257904053,0.4614386558532715,ok,,1467,1173,0,367,0.5134246610105038,8,5e-06,True,17.103376388549805,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.717687074829932,0.717687074829932,0,True,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7170564746149458,0.7168669892309556,562.1778020858765,24.71654725074768,ok,,35060,28048,0,8765,0.5488582998514175,16,5e-06,True,561.8794512748718,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7189104392470052,0.7189104392470052,0,True,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.7493299689484976,17.14264678955078,0.4718382358551025,ok,,1466,1172,0,367,0.5395155660808086,8,5e-06,True,17.102659463882446,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7142857142857143,0.7210884353741497,5,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7816753636808982,16.776708602905273,0.479684829711914,ok,,1465,1172,0,367,0.5301689431071281,8,5e-06,True,16.742319583892822,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7542662116040956,0.757679180887372,5,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7209355390758699,0.7209692770066157,561.1249601840973,24.73987984657288,ok,,35060,28048,0,8765,0.5699697732925415,16,5e-06,True,560.8544681072235,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7181973759269823,0.7183399885909869,2,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.711123787792356,0.7111783852221306,561.3926994800568,24.665944814682007,ok,,35060,28048,0,8765,0.5563716739416122,16,5e-06,True,561.0585279464722,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.713063320022818,0.7162007986309185,4,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7106674272675414,0.7106514917217641,561.8392004966736,24.711816787719727,ok,,35060,28048,0,8765,0.5457505285739899,16,5e-06,True,561.5155034065247,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7087849401026811,0.7174843126069596,8,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7356948228882834,0.7352821316166672,17.469461917877197,0.4670491218566894,ok,,1467,1173,0,367,0.5617398545145988,8,5e-06,True,17.434689044952393,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6972789115646258,0.7108843537414966,8,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7161437535653166,0.7161984464124531,561.026394367218,24.729279041290283,ok,,35060,28048,0,8765,0.5353125184774399,16,5e-06,True,560.744236946106,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7132059326868226,0.7162007986309185,8,False,False,,True,text-embedding-v4,0.05,128,10,10,0,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8837962962962963,0.8825367122140731,94.76737451553343,3.5018153190612797,ok,,8640,6912,0,2160,0.3211064282804727,8,5e-06,True,94.60214376449584,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8663194444444444,0.8703703703703703,7,False,False,,True,text-embedding-v4,0.05,128,16,16,0,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8,0.7922205310333165,13.013949871063232,0.2540192604064941,ok,,1200,960,0,300,0.4378041625022888,8,5e-06,True,12.98253321647644,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7666666666666667,0.775,2,False,False,,True,text-embedding-v4,0.05,128,6,6,0,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6693032314479908,18.13217520713806,0.5499918460845947,ok,,1280,1024,0,320,0.6159056946635246,8,5e-06,True,18.0674307346344,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6484375,0.65625,4,False,False,,True,text-embedding-v4,0.05,128,20,20,0,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6808011265842591,18.046608209609985,0.5585067272186279,ok,,1280,1024,0,320,0.4913341160863638,8,5e-06,True,17.98430299758911,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.66796875,0.67578125,8,False,False,,True,text-embedding-v4,0.05,128,20,20,0,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6126315789473684,0.567792812222868,33.40523552894592,1.2855432033538818,ok,,3796,3036,0,950,0.8195996396243572,8,5e-06,True,33.3503520488739,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6171052631578947,0.6236842105263158,5,False,False,,True,text-embedding-v4,0.05,128,13,13,0,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.84,0.8393338653219634,105.07464456558228,4.047350168228149,ok,,7898,6318,0,1975,0.6399714425206184,8,5e-06,True,104.86020040512084,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.790506329113924,0.8069620253164557,8,False,False,,True,text-embedding-v4,0.05,128,32,32,0,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8011482254697286,0.8038036599492837,209.0685510635376,7.063971996307373,ok,,15326,12260,0,3832,0.4430042076855898,8,5e-06,True,208.8463659286499,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8062622309197651,0.8075668623613829,5,False,False,,True,text-embedding-v4,0.05,128,13,13,0,
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8775510204081632,0.865202906820623,20.80231046676636,0.5923070907592773,ok,,1176,940,0,294,0.301819471642375,8,5e-06,True,20.73045778274536,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.9110169491525424,0.9110169491525424,0,True,False,,True,text-embedding-v4,0.05,128,31,31,0,
